family,threatened,naturalized,invasive,species,vetted,hybrids,animal,asexual,climate.sum,herbaceous,fleshy.fruit,annual,Age (Ma),Range size (km2 x 106)
Acanthaceae,273,109,37,3947,426,4,1,0,3,0.5,0,1,42.63,79.941
Achariaceae,0,2,1,101,4,0,1,0,1,1,0,0,76.73,0.54
Achatocarpaceae,0,0,0,11,0,0,1,0,2,0,1,0,39.49,11.747
Acoraceae,0,2,2,2,2,0,1,0,3,1,0.5,0,132.89,28.159
Actinidiaceae,29,5,0,176,46,1,1,0,3,0,0.5,0,64.66,15.226
Adoxaceae,2,32,12,194,2,9,1,1,1,1,1,0,86.27,36.029
Aextoxicaceae,0,0,0,1,0,0,1,0,1,0,0,0,93.59,0.315
Aizoaceae,14,63,20,2271,38,5,1,0,2,1,0.5,1,30.64,94.456
Akaniaceae,1,0,0,2,1,0,1,0,1,0,0,0,34.64,2.333
Alismataceae,6,23,10,120,34,5,1,0,3,1,0,1,97.47,97.77
Alseuosmiaceae,1,0,0,6,1,0,1,0,2,0,1,0,61.37,1.647
Alstroemeriaceae,12,3,1,259,15,5,1,0,3,1,0.5,0,63.42,11.318
Altingiaceae,1,1,1,19,5,0,1,0,3,0,0,0,101.63,6.904
Amaranthaceae,26,254,121,2052,38,107,1,1,3,0.5,0.5,1,39.49,110.899
Amaryllidaceae,73,127,29,2258,181,174,1,0,3,1,0.5,0,39,114.875
Amborellaceae,0,0,0,1,0,0,1,0,1,0,0,0,159.6,0.001
Anacampserotaceae,0,0,0,58,0,0,1,0,2,0,0,0,28.06,2.757
Anacardiaceae,90,33,17,701,166,7,1,1,2,0,0.5,0,42.88,68.387
Anarthriaceae,0,0,0,11,0,0,0,0,1,1,0,0,59.19,0.506
Ancistrocladaceae,3,0,0,21,3,0,1,0,1,0,0,0,47.25,8.437
Anisophylleaceae,13,0,0,39,17,0,1,0,1,0,0.5,0,69.27,11.754
Annonaceae,202,13,7,2106,371,8,1,0,2,0,1,0,78.89,42.594
Aphanopetalaceae,0,1,0,2,0,0,1,0,1,0,0,0,64.67,0.454
Aphloiaceae,0,0,0,2,0,0,1,0,1,0,0,0,108.93,2.062
Apiaceae,74,179,60,3257,167,31,1,1,4,1,0,1,56.91,102.921
Apocynaceae,206,92,51,5556,294,60,1,1,3,0.5,0.5,1,67.05,110.495
Apodanthaceae,0,0,0,26,0,0,1,0,3,1,1,0,72,23.159
Aponogetonaceae,14,3,1,58,33,0,1,0,2,1,0,0,111.51,22.903
Aquifoliaceae,75,9,7,480,144,6,1,0,3,0,1,0,77.03,36.905
Araceae,109,83,42,3368,239,81,1,1,3,1,0.5,1,122.32,115.302
Araliaceae,177,40,26,1533,243,3,1,0,3,0.5,0.5,0,69.44,73.862
Arecaceae,359,61,38,2522,584,22,1,0,2,0,0.5,0,106.87,66.972
Argophyllaceae,0,0,0,22,1,1,1,0,3,0,0,0,55.01,1.125
Aristolochiaceae,30,20,7,624,31,1,1,0,3,0.5,0.5,0,120.18,87.91
Asparagaceae,53,144,44,2929,133,76,1,0,3,0.5,1,0,43.8,105.419
Asteliaceae,2,0,0,37,2,0,1,0,3,1,0.5,0,74.83,0.598
Asteraceae,648,1508,470,32913,1029,818,1,1,4,0.5,0,1,42.31,132.163
Asteropeiaceae,6,0,0,8,8,0,1,0,1,0,0,0,25.57,0.332
Atherospermataceae,0,0,0,20,0,0,1,0,3,0,0,0,97.44,1.255
Austrobaileyaceae,0,0,0,1,0,0,1,0,1,0,1,0,140.83,0.603
Balanopaceae,1,0,0,9,1,0,1,0,2,0,0,0,63.03,0.128
Balanophoraceae,0,0,0,45,0,0,1,1,2,1,0,1,114.5,37.568
Balsaminaceae,59,11,7,488,76,2,1,0,3,1,0.5,1,69.84,89.224
Barbeuiaceae,0,0,0,1,0,0,1,0,1,0,0,0,30.64,0.239
Barbeyaceae,0,0,0,1,0,0,0,0,1,0,0,0,54.97,0.756
Basellaceae,0,5,3,19,0,0,1,0,1,1,0,0,28.06,37.005
Bataceae,0,1,0,2,0,0,1,0,1,0,1,0,33.66,3.623
Begoniaceae,72,22,20,1601,80,67,1,0,2,1,0.5,1,48.1,47.686
Berberidaceae,30,27,29,755,36,82,1,0,2,1,1,0,87.26,52.194
Berberidopsidaceae,0,0,0,2,0,0,1,0,3,0,1,0,93.59,0.282
Betulaceae,19,25,32,234,116,60,0,1,1,0,0,0,33.22,71.392
Biebersteiniaceae,0,0,0,5,0,0,1,0,2,1,0,0,65.52,4.243
