family,species,rare,Naturalised,naturalized.hybrids,vetted,Invasive,species.hybrids,genus.hybrids,tropical,subtropical,temperate,frigidzone,climate.sum,hermaphroditic,dioecious,dmonoecious,wind,animal,asexual,herbaceous,variable,woody,fleshy.fruit,ln.shybrids,ln.ghybrids
Acanthaceae,7872,273,109,0,426,12,4,1,1,1,1,0,3,1,0,0,0,1,0,1,1,1,0,1.609437912,0.693147181
Achariaceae,290,0,2,0,4,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0
Achatocarpaceae,11,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0
Acoraceae,5,0,2,0,2,0,0,0,0,1,1,1,3,1,0,0,0,1,0,1,0,0,0.5,0,0
Actinidiaceae,429,29,5,0,46,0,1,0,1,1,1,0,3,1,1,1,0,1,0,0,0,1,0.5,0.693147181,0
Adoxaceae,413,2,33,1,2,4,9,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,2.302585093,0
Aextoxicaceae,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Aizoaceae,3650,14,65,2,38,1,5,3,1,1,0,0,2,1,1,1,0,1,0,1,1,1,0.5,1.791759469,1.386294361
Akaniaceae,2,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Alismataceae,136,6,23,0,34,4,5,0,1,1,1,0,3,1,1,1,0,1,0,1,0,0,0,1.791759469,0
Alseuosmiaceae,14,1,0,0,1,0,0,0,1,0,0,1,2,1,0,1,0,1,0,0,0,1,1,0,0
Alstroemeriaceae,284,12,3,0,15,0,5,0,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0.5,1.791759469,0
Altingiaceae,21,1,1,0,5,0,0,0,1,1,1,0,3,0,0,1,0,1,0,0,0,1,0,0,0
Amaranthaceae,3544,26,265,11,38,29,107,0,1,1,1,0,3,1,1,1,0,1,1,1,1,1,0.5,4.682131227,0
Amaryllidaceae,2380,73,141,14,181,10,174,20,1,1,1,0,3,1,0,0,0,1,0,1,0,0,0.5,5.164785974,3.044522438
Amborellaceae,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,NA,0,0
Anacampserotaceae,63,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,0,1,0,1,1,0,NA,0,0
Anacardiaceae,1919,90,33,0,166,5,7,0,1,1,0,0,2,1,1,1,0,1,1,0,1,1,0.5,2.079441542,0
Anarthriaceae,12,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0
Ancistrocladaceae,22,3,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0
Anisophylleaceae,45,13,0,0,17,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0.5,0,0
Annonaceae,2998,202,14,1,371,4,8,0,1,1,0,0,2,1,1,1,0,1,0,0,0,1,1,2.197224577,0
Aphanopetalaceae,2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Aphloiaceae,6,0,0,0,0,0,0,0,1,0,0,0,1,NA,NA,NA,0,1,0,0,0,1,NA,0,0
Apiaceae,6463,74,179,0,167,14,31,1,1,1,1,1,4,1,0,1,0,1,1,1,1,1,0,3.465735903,0.693147181
Apocynaceae,8651,206,92,0,294,18,60,0,1,1,1,0,3,1,0,0,0,1,1,1,1,1,0.5,4.110873864,0
Apodanthaceae,29,0,0,0,0,0,0,0,1,1,1,0,3,0,1,1,0,1,0,1,0,0,1,0,0
Aponogetonaceae,60,14,3,0,33,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
Aquifoliaceae,798,75,11,2,144,5,6,0,1,1,1,0,3,0,1,1,0,1,0,0,0,1,1,1.945910149,0
Araceae,4589,109,84,1,239,19,81,0,1,1,1,0,3,1,1,1,1,1,1,1,0,1,0.5,4.406719247,0
Araliaceae,1876,177,40,0,243,7,3,1,1,1,1,0,3,1,0,1,0,1,0,1,0,1,0.5,1.386294361,0.693147181
Arecaceae,2856,359,62,1,584,13,22,5,1,1,0,0,2,1,1,1,1,1,0,0,0,1,0.5,3.135494216,1.791759469
Argophyllaceae,23,0,0,0,0,0,1,0,1,1,1,0,3,1,0,0,0,1,0,0,0,1,NA,0.693147181,0
Aristolochiaceae,753,30,20,0,31,4,1,0,1,1,1,0,3,1,0,0,0,1,0,1,1,1,0.5,0.693147181,0
Asparagaceae,3386,53,148,4,133,19,76,1,1,1,1,0,3,1,1,1,0,1,0,1,0,1,1,4.343805422,0.693147181
Asteliaceae,37,2,0,0,2,0,0,0,1,1,1,0,3,1,0,1,0,1,0,1,0,0,0.5,0,0
Asteraceae,52986,648,0,0,1029,212,818,42,1,1,1,1,4,1,1,1,1,1,1,1,1,1,0,6.708084084,3.761200116
